ERANO,ERANAME,IDI_Group,CTC_Aggregate,CTC_Area,IFMP_Group,PFMA,,,,,,,,,,,,,,,,,,,,,,60 TPGSDO TERM S
61,61 JNST S,ISBM_SBC_JNST_S,ISBM Fishery,Southern BC,ISBM-Southern,,,,,,,,,,,,,,,,,,,,,,,
62,62 TJNST TERM S,ISBM_SBC_JNST_TERM_S,ISBM Fishery,Southern BC,ISBM-Southern,,,,,,,,,,,,,,,,,,,,,,,
63,63 GEO ST S,ISBM_SBC_GEO_ST_S,ISBM Fishery,Southern BC,ISBM-Southern,,,,,,,,,,,,,,,,,,,,,,,
64,64 TGEO ST TERM S,ISBM_SBC_GEO_ST_TERM_S,ISBM Fishery,Southern BC,ISBM-Southern,,,,,,,,,,,,,,,,,,,,,,,
65,65 BC JF S,ISBM_SBC_JF_S,ISBM Fishery,Southern BC,ISBM-Southern,,,,,,,,,,,,,,,,,,,,,,,
66,66 TBC JF TERM S,ISBM_SBC_JF_TERM_S,ISBM Fishery,Southern BC,ISBM-Southern,,,,,,,,,,,,,,,,,,,,,,,
67,67 TCOL R S,TERM_SthUS_All,Terminal Fishery,Southern US,NA,,,,,,,,,,,,,,,,,,,,,,,
68,68 TAK TERM S,TERM_SEAK_All,Terminal Fishery,SEAK,NA,,,,,,,,,,,,,,,,,,,,,,,
69,69 TBR TERM S,TERM_SEAK_All,Terminal Fishery,SEAK,NA,,,,,,,,,,,,,,,,,,,,,,,
70,70 TNORTH FS,TERM_NORTH_FS,Terminal Fishery,Canada,TBD,,,,,,,,,,,,,,,,,,,,,,,
71,71 TCENTRAL FS,TERM_CBC_FS,Terminal Fishery,Canada,TBD,,,,,,,,,,,,,,,,,,,,,,,
72,72 TWCVI FS,TERM_WCVI_FS,Terminal Fishery,Canada,TBD,,,,,,,,,,,,,,,,,,,,,,,
73,73 TFRASER FS,TERM_FRASER_FS,Terminal Fishery,Canada,TBD,,,,,,,,,,,,,,,,,,,,,,,
74,74 TGS FS,TERM_GEO_ST_FS,Terminal Fishery,Canada,TBD,,,,,,,,,,,,,,,,,,,,,,,
75,75 TPS FS,TERM_SthUS_All,Terminal Fishery,Southern US,NA,,,,,,,,,,,,,,,,,,,,,,,
76,76 TSF TERM FS,TERM_SthUS_All,Terminal Fishery,Southern US,NA,,,,,,,,,,,,,,,,,,,,,,,
77,77 TCAN TBR TERM FN,TERM_CAN_TBR_FN,Terminal Fishery,Canada,TBD,,,,,,,,,,,,,,,,,,,,,,,
78,78 XCA ESC STRAY,ESC_Stray_CA,Escapement,Stray,NA,,,,,,,,,,,,,,,,,,,,,,,
79,79 XUS ESC STRAY,ESC_Stray_US,Escapement,Stray,NA,,,,,,,,,,,,,,,,,,,,,,,
80,80 ESCAPEMENT,ESC_Home,Escapement,Esc,NA,,,,,,,,,,,,,,,,,,,,,,,
