"stock","MortType","CatchYear","AABM Fishery_SEAK_All","AABM Fishery_NBC_T","AABM Fishery_NBC_S","AABM Fishery_WCVI_FW","AABM Fishery_WCVI_SPR T","AABM Fishery_WCVI_SUM T","AABM Fishery_WCVI_AABM S","ISBM Fishery_NBC & CBC_Central T","ISBM Fishery_NBC & CBC_North N","ISBM Fishery_NBC & CBC_TNBC Term N","ISBM Fishery_NBC & CBC_Central N","ISBM Fishery_NBC & CBC_TCBC Term N","ISBM Fishery_NBC & CBC_CBC S","ISBM Fishery_NBC & CBC_ TCBC TERM S","ISBM Fishery_NBC & CBC_NBC ISBM S","ISBM Fishery_NBC & CBC_TNBC TERM S","ISBM Fishery_Southern BC_GEO ST T","ISBM Fishery_Southern BC_WCVI N","ISBM Fishery_Southern BC_GEO ST N","ISBM Fishery_Southern BC_JNST N","ISBM Fishery_Southern BC_BC JF N","ISBM Fishery_Southern BC_FRASER N","ISBM Fishery_Southern BC_ TFRASER TERM N","ISBM Fishery_Southern BC_GEO ST S","ISBM Fishery_Southern BC_TGEO ST TERM S","ISBM Fishery_Southern BC_JNST S","ISBM Fishery_Southern BC_TJNST TERM S","ISBM Fishery_Southern BC_BC JF S","ISBM Fishery_Southern BC_TBC JF TERM S","ISBM Fishery_Southern BC_WCVI ISBM S","ISBM Fishery_US_T","Terminal Fishery_SEAK_All","Terminal Fishery_Canada_TNORTH FN","Terminal Fishery_Canada_TCENTRAL FN","Terminal Fishery_Canada_TGEO ST FN","Terminal Fishery_Canada_TFRAS FN","Terminal Fishery_Canada_CAN TBR TERM FN","Terminal Fishery_Canada_TWCVI TERM N","Terminal Fishery_Canada_TNORTH FS","Terminal Fishery_Canada_TCENTRAL FS","Terminal Fishery_Canada_TWCVI FS","Terminal Fishery_Canada_TFRASER FS","Terminal Fishery_Canada_TGS FS","Terminal Fishery_Canada_TWCVI TERM S","Terminal Fishery_Southern US_All","Escapement_    _Stray","Esc.",
"ATN","LC",1999,7.5725406935598,0,2.54777070063694,0,0,0,0,0,0,0,0,7.21868365180467,0.849256900212314,0.141542816702052,0.283085633404105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212314225053079,0,0,4.45859872611465,0,0,0,0,0,3.53857041755131,0,0,0,0,0,0,73.1776362349611,
"ATN","LC",2000,6.03112840466926,0,2.62645914396887,0,0,0,0,0,0,0,0,7.1011673151751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78210116731518,0,0,0,0,0,3.89105058365759,0,0,0,0,0,0,72.568093385214,
"ATN","LC",2001,7.31343283582089,0,1.64179104477612,0.298507462686567,0,0,0,0,0,0,0,13.134328358209,0.895522388059702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149253731343284,0,0,8.80597014925373,0,0,0,0,0,4.47761194029851,0,0,0,0,0,0,63.2835820895522,
"ATN","LC",2002,5.1983584131327,8.07113543091655,3.14637482900137,0,0.820793433652531,0,0,0,0,0,0,16.1422708618331,1.2311901504788,1.64158686730506,0.27359781121751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38714090287278,0,0,0,0,0,2.05198358413133,0,0,0,0,0,0,54.0355677154583,
"ATN","LC",2003,4.75382003395586,2.54668930390492,4.58404074702886,0,0,0,0,0,0,0,0,24.9575551782683,7.47028862478778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48896434634974,0,0,0,0,0,3.3955857385399,0,0,0,0,0,0,43.8030560271647,
"ATN","LC",2004,8.14814814814815,2.96296296296296,4.2962962962963,0,0,0,0,0,0,0,0,21.037037037037,1.33333333333333,3.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14814814814815,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,49.1851851851852,
"ATN","LC",2005,14.2070484581498,4.40528634361234,4.95594713656388,0,0,0,0,0,0,0,0,16.079295154185,5.72687224669604,1.98237885462555,1.54185022026432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26872246696035,0,0,0,0,0,1.98237885462555,0,0,0,0,0,0,41.8502202643172,
"ATN","LC",2006,9.8932384341637,2.20640569395018,2.13523131672598,0,0,0,0,0,0,0,0,8.89679715302491,4.55516014234875,0,0.284697508896797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55516014234875,0,0,0,0,0,2.27758007117438,0,0,0,0,0,0,65.1957295373666,
"ATN","LC",2007,15.7068062827225,1.04712041884817,3.1413612565445,0,0.523560209424084,0,0,0,0,0,0,17.5392670157068,1.30890052356021,3.1413612565445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02094240837696,0,0,0,0,0,2.35602094240838,0,0,0,0,0,0,49.2146596858639,
"ATN","LC",2008,2.94117647058824,0,0,0,0,0,0,0,0,0,0,8.82352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41176470588235,0,0,0,0,0,0,0,0,0,0,0,0,83.8235294117647,
"ATN","LC",2009,7.79816513761468,2.44648318042813,2.75229357798165,0,0,0,0,0,0,0,0,23.7003058103976,1.52905198776758,0.917431192660551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78593272171254,0,0,0,0,0,3.36391437308868,0,0,0,0,0,0,47.7064220183486,
"ATN","LC",2010,10.4218362282878,2.48138957816377,1.36476426799007,0,0,0,0,0,0,0,0,13.5235732009926,2.35732009925558,0,3.34987593052109,0,0,0,0,0,0,0,0,0,0,0.744416873449132,0,0,0,0,0,0,0,10.9181141439206,0,0,0,0,0,3.10173697270471,0,0,0,0,0,0,51.7369727047146,
