"CFILENO","IDI_Group"
140,"ISBM_SBC_GEO_ST_TERM_S"
91,"ISBM_SBC_JF_N"
146,"ISBM_SBC_JF_S"
147,"ISBM_SBC_JF_TERM_S"
80,"ISBM_SBC_JNST_N"
135,"ISBM_SBC_JNST_S"
148,"ISBM_SBC_JNST_TERM_S"
41,"ISBM_US_ALL"
42,"ISBM_US_ALL"
43,"ISBM_US_ALL"
44,"ISBM_US_ALL"
45,"ISBM_US_ALL"
46,"ISBM_US_ALL"
47,"ISBM_US_ALL"
48,"ISBM_US_ALL"
49,"ISBM_US_ALL"
50,"ISBM_US_ALL"
51,"ISBM_US_ALL"
52,"ISBM_US_ALL"
54,"ISBM_US_ALL"
93,"ISBM_US_ALL"
95,"ISBM_US_ALL"
96,"ISBM_US_ALL"
97,"ISBM_US_ALL"
98,"ISBM_US_ALL"
99,"ISBM_US_ALL"
100,"ISBM_US_ALL"
102,"ISBM_US_ALL"
103,"ISBM_US_ALL"
105,"ISBM_US_ALL"
106,"ISBM_US_ALL"
107,"ISBM_US_ALL"
108,"ISBM_US_ALL"
109,"ISBM_US_ALL"
110,"ISBM_US_ALL"
112,"ISBM_US_ALL"
113,"ISBM_US_ALL"
115,"ISBM_US_ALL"
117,"ISBM_US_ALL"
119,"ISBM_US_ALL"
167,"ISBM_US_ALL"
168,"ISBM_US_ALL"
169,"ISBM_US_ALL"
170,"ISBM_US_ALL"
172,"ISBM_US_ALL"
171,"ISBM_US_ALL"
175,"ISBM_US_ALL"
176,"ISBM_US_ALL"
177,"ISBM_US_ALL"
178,"ISBM_US_ALL"
181,"ISBM_US_ALL"
179,"ISBM_US_ALL"
150,"ISBM_US_ALL"
151,"ISBM_US_ALL"
152,"ISBM_US_ALL"
153,"ISBM_US_ALL"
155,"ISBM_US_ALL"
156,"ISBM_US_ALL"
157,"ISBM_US_ALL"
159,"ISBM_US_ALL"
160,"ISBM_US_ALL"
161,"ISBM_US_ALL"
164,"ISBM_US_ALL"
162,"ISBM_US_ALL"
165,"ISBM_US_ALL"
83,"ISBM_WCVI_N"
85,"ISBM_WCVI_N"
92,"ISBM_WCVI_S"
185,"TERM_CAN_TBR_FN"
186,"TERM_CAN_TBR_FN"
187,"TERM_CAN_TBR_FN"
188,"TERM_CAN_TBR_FN"
79,"TERM_CBC_FN"
134,"TERM_CBC_FS"
89,"TERM_FRASER_FN"
90,"TERM_FRASER_FN"
145,"TERM_FRASER_FS"
82,"TERM_GEO_ST_FN"
138,"TERM_GEO_ST_FS"
141,"TERM_GEO_ST_FS"
76,"TERM_NORTH_FN"
131,"TERM_NORTH_FS"
25,"TERM_SEAK_All"
26,"TERM_SEAK_All"
60,"TERM_SEAK_All"
61,"TERM_SEAK_All"
62,"TERM_SEAK_All"
72,"TERM_SEAK_All"
125,"TERM_SEAK_All"
126,"TERM_SEAK_All"
127,"TERM_SEAK_All"
53,"TERM_SthUS_All"
94,"TERM_SthUS_All"
101,"TERM_SthUS_All"
104,"TERM_SthUS_All"
111,"TERM_SthUS_All"
114,"TERM_SthUS_All"
116,"TERM_SthUS_All"
118,"TERM_SthUS_All"
120,"TERM_SthUS_All"
121,"TERM_SthUS_All"
122,"TERM_SthUS_All"
123,"TERM_SthUS_All"
149,"TERM_SthUS_All"
154,"TERM_SthUS_All"
158,"TERM_SthUS_All"
163,"TERM_SthUS_All"
166,"TERM_SthUS_All"
173,"TERM_SthUS_All"
174,"TERM_SthUS_All"
180,"TERM_SthUS_All"
144,"TERM_WCVI_FS"
84,"TERM_WCVI_N"
86,"TERM_WCVI_N"
143,"TERM_WCVI_S"
