"CFILENO","IDI_Group"
128,"AABM_NBC_S"
27,"AABM_NBC_T"
28,"AABM_NBC_T"
29,"AABM_NBC_T"
30,"AABM_NBC_T"
1,"AABM_SEAK_All"
2,"AABM_SEAK_All"
3,"AABM_SEAK_All"
4,"AABM_SEAK_All"
5,"AABM_SEAK_All"
6,"AABM_SEAK_All"
7,"AABM_SEAK_All"
8,"AABM_SEAK_All"
9,"AABM_SEAK_All"
10,"AABM_SEAK_All"
11,"AABM_SEAK_All"
12,"AABM_SEAK_All"
13,"AABM_SEAK_All"
14,"AABM_SEAK_All"
15,"AABM_SEAK_All"
16,"AABM_SEAK_All"
17,"AABM_SEAK_All"
18,"AABM_SEAK_All"
19,"AABM_SEAK_All"
20,"AABM_SEAK_All"
21,"AABM_SEAK_All"
22,"AABM_SEAK_All"
23,"AABM_SEAK_All"
24,"AABM_SEAK_All"
55,"AABM_SEAK_All"
56,"AABM_SEAK_All"
57,"AABM_SEAK_All"
58,"AABM_SEAK_All"
59,"AABM_SEAK_All"
63,"AABM_SEAK_All"
64,"AABM_SEAK_All"
65,"AABM_SEAK_All"
66,"AABM_SEAK_All"
67,"AABM_SEAK_All"
68,"AABM_SEAK_All"
69,"AABM_SEAK_All"
70,"AABM_SEAK_All"
71,"AABM_SEAK_All"
73,"AABM_SEAK_All"
124,"AABM_SEAK_All"
189,"AABM_SEAK_All"
190,"AABM_SEAK_All"
191,"AABM_SEAK_All"
192,"AABM_SEAK_All"
32,"AABM_WCVI_FW"
33,"AABM_WCVI_FW"
36,"AABM_WCVI_FW"
37,"AABM_WCVI_FW"
142,"AABM_WCVI_S"
34,"AABM_WCVI_SPR_T"
38,"AABM_WCVI_SPR_T"
35,"AABM_WCVI_SUM_T"
39,"AABM_WCVI_SUM_T"
182,"ESC_Home"
183,"ESC_Home"
184,"ESC_Home"
195,"ESC_Home"
193,"ESC_Stray_CA"
194,"ESC_Stray_US"
77,"ISBM_CBC_N"
132,"ISBM_CBC_S"
31,"ISBM_CBC_T"
78,"ISBM_CBC_Term_N"
133,"ISBM_CBC_TERM_S"
74,"ISBM_NBC_N"
129,"ISBM_NBC_S"
75,"ISBM_NBC_Term_N"
130,"ISBM_NBC_TERM_S"
87,"ISBM_SBC_FRASER_N"
88,"ISBM_SBC_FRASER_TERM_N"
81,"ISBM_SBC_GEO_ST_N"
136,"ISBM_SBC_GEO_ST_S"
139,"ISBM_SBC_GEO_ST_S"
40,"ISBM_SBC_GEO_ST_T"
137,"ISBM_SBC_GEO_ST_TERM_S"
