PFMA,Strata name,Classification ,month,uncertain
"PFMA 21,22,23-3 to 23-11, 24,121,123,124",SW Vancouver Is Net Exc. Alberni Inlet,ISBM,September,
"PFMA 21,22,23-3 to 23-11, 24,121,123,124",SW Vancouver Is Net Exc. Alberni Inlet,ISBM,October,
"PFMA 21,22,23-3 to 23-11, 24,121,123,124",SW Vancouver Is Net Exc. Alberni Inlet,ISBM,November,
"PFMA 21,22,23-3 to 23-11, 24,121,123,124",SW Vancouver Is Net Exc. Alberni Inlet,ISBM,December,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,January,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,February,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,March,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,April,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,May,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,June,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,July,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,August,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,September,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,October,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,November,
Terminal FW PFMA 29,Thompson R - Bonaparte R Mouth FSC (Bonaparte Indian Band),ISBM,December,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,January,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,February,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,March,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,April,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,May,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,June,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,July,??
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,August,??
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,September,??
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,October,??
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,November,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport,WCVI AABM,December,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,January,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,February,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,March,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,April,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,May,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,June,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,July,??
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,August,??
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,September,??
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,October,??
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,November,
"PFMA 21, 121, 22, 23-3 to 23-11, 123, 24 to 27, 124 to 127",West Coast Vancouver Is Sport - Direct,WCVI AABM,December,
